0  5621 janota
0  2365 winans
0  1234 zerwekh
0  1524 rannie
0  6395 angotti
0  2515 glickfield

1  123456789  25  100
2   2563  4 B
2  5621  3 C
2  2365   4 A
1  111111111  30  90
2  1234   4 A
2  5621  3 A
1  222222222  11  22
2  1234  4  A
2  6395  3 C
2  2563               4 D
2  1524           2               B
1  333333333   120  360
2  5621  4 C
1  444444444  85     255
2  2563  4 A
2  5621  3   D
2  2515  4 B
1  555555555    55   110
2  1234   4 A
2  5621  3 B
2    2563  4 A
2  2635        1 A
1  666666666      42  126
2  6395  3 C
2  9658  4               B
2    2365    4   B
1  777777777           12  48
2  1234                      4 C
2                                       5621  4 B
1  888888888  22  44
2  1524           3 B
1  999999999                       36  90
2    5621   4 A
2  2365  4   B
1  101010101  47  90
2                      1234           3 D
2  2514  4 F
2  2635  4 C
1  111111110  56  140
2  9658                       2          A
2  8547  4 B
2  5621             3                      B
2     6395   4 C
1  222222220  75  170
2  2365  3 B
2  6395  4 C
1  222525252  67  190
2  6352   2 A
2                 5265  3   B
1  353535352  85  260
2                5298  3 B
2  9587  4 C
2  8564  4 A
1  524215141                     95          290
2  2586   4  A
2  1524   3   B
2  5621   2            C
2  1234   2              A
1  525252525   110  330
2  1524  4 A
2  2515  4 A
2   2365                        4                             B
1  626262626  125  375
2  5621  4 B
2  9856  3 A
1  727272727  140  550
2  6395  3 A
2  2365  4 A
1  852585258                       15               35
2  5236  4                 B
2  5264  3                 D
2  1234  3                 F
1  526352632  25  75
2  3256  2 A
2  5621  4 B
2      2526    2 A
1  636363636  75  250
2  5263  4 A
1  526987454  76  250
2  1524  4 B
2                                                       2563 4 B
1  585858585  110  350
2  5263                   4       C
2   1234  3    B
2  1524  4 A
1  885885858  12   36
2  2365                        3 A
2  1475                        3 B
1  774774774  23  67
2                                  1474  3 B
2  5621    3 A
1  152415241              65          130
2            2515               4   D
2    1234              3                  C
1            888887777    47  150
2  5621  3 B
2   1234   3     B
2  2365  3 B
